file_name;file_path;FINAL_GEOUNIT
Afghanistan;files/outlines/Afghanistan.png;Afghanistan
Aland;files/outlines/Aland.png;Aland
Albania;files/outlines/Albania.png;Albania
Algeria;files/outlines/Algeria.png;Algeria
American_Samoa;files/outlines/American_Samoa.png;American Samoa
Andorra;files/outlines/Andorra.png;Andorra
Angola;files/outlines/Angola.png;Angola
Anguilla;files/outlines/Anguilla.png;Anguilla
Antigua_and_Barbuda;files/outlines/Antigua_and_Barbuda.png;Antigua and Barbuda
Argentina;files/outlines/Argentina.png;Argentina
Armenia;files/outlines/Armenia.png;Armenia
Aruba;files/outlines/Aruba.png;Aruba
Australia;files/outlines/Australia.png;Australia
Austria;files/outlines/Austria.png;Austria
Azerbaijan;files/outlines/Azerbaijan.png;Azerbaijan
Azores;files/outlines/Azores.png;Azores
Bahrain;files/outlines/Bahrain.png;Bahrain
Bangladesh;files/outlines/Bangladesh.png;Bangladesh
Barbados;files/outlines/Barbados.png;Barbados
Belarus;files/outlines/Belarus.png;Belarus
Belgium;files/outlines/Belgium.png;Belgium
Belize;files/outlines/Belize.png;Belize
Benin;files/outlines/Benin.png;Benin
Bermuda;files/outlines/Bermuda.png;Bermuda
Bhutan;files/outlines/Bhutan.png;Bhutan
Bolivia;files/outlines/Bolivia.png;Bolivia
Bosnia_and_Herzegovina;files/outlines/Bosnia_and_Herzegovina.png;Bosnia and Herzegovina
Botswana;files/outlines/Botswana.png;Botswana
Brazil;files/outlines/Brazil.png;Brazil
British_Indian_Ocean_Territory;files/outlines/British_Indian_Ocean_Territory.png;British Indian Ocean Territory
British_Virgin_Islands;files/outlines/British_Virgin_Islands.png;British Virgin Islands
Brunei;files/outlines/Brunei.png;Brunei
Bulgaria;files/outlines/Bulgaria.png;Bulgaria
Burkina_Faso;files/outlines/Burkina_Faso.png;Burkina Faso
Burundi;files/outlines/Burundi.png;Burundi
Cabo_Verde;files/outlines/Cabo_Verde.png;Cabo Verde
Cambodia;files/outlines/Cambodia.png;Cambodia
Cameroon;files/outlines/Cameroon.png;Cameroon
Canada;files/outlines/Canada.png;Canada
Caribbean_Netherlands;files/outlines/Caribbean_Netherlands.png;Caribbean Netherlands
Cayman_Islands;files/outlines/Cayman_Islands.png;Cayman Islands
Central_African_Republic;files/outlines/Central_African_Republic.png;Central African Republic
Chad;files/outlines/Chad.png;Chad
Chile;files/outlines/Chile.png;Chile
China;files/outlines/China.png;China
Christmas_Island;files/outlines/Christmas_Island.png;Christmas Island
Cocos_(Keeling)_Islands;files/outlines/Cocos_(Keeling)_Islands.png;Cocos (Keeling) Islands
Colombia;files/outlines/Colombia.png;Colombia
Comoros;files/outlines/Comoros.png;Comoros
Cook_Islands;files/outlines/Cook_Islands.png;Cook Islands
Costa_Rica;files/outlines/Costa_Rica.png;Costa Rica
